book_name,title,author,subject,keywords,summary
book3.pdf,Principles of Finance,,,,"principles of finance senior contributing authors julie dahlquist, texas christian university rainford knight, florida atlantic university openstax rice university 6100 main street ms-375 houston, texas 77005 to learn more about openstax, visit https://openstax.org. individual print copies and bulk orders can be purchased through our website. ©2022 rice university. textbook content produced by ope..."
India Banking and Finance Report 2024 for author.pdf,,,,,"nibm n o z a m a m o r e f s a h c r u p r bl a ail v s d i e n u p m, b ni wit ati indciia banking o o ati au nd finance o f mi y b d report 2024 e h bli 4 i 2 0 2 f r edited by b i partha ray arindam bandyopadhyay sanjay basu isbn 978-93-327-0655-2 national institute of bank management national institute of (nibm), pune bank management inr 1495 (ind sub) www.nibmindia.org us$ 79.95 (overseas) (n..."
5. Session 1.3 - Uma Shankar - Financial literacy in india - data and policy.pdf,Financial literacy in india - data & policy,Niv,,DAClWeJgZ3M,"r e s e r v e b a n k o f i n d i a f i n a n c i a l l i t e r a c y i n i n d i a - d a t a & p o l i c y uma shankar principal chief general manager financial inclusion & development department c o n t e n t s 1 5 financial literacy all india survey in india policy implications & 2 6 financial knowledge guidance 3 9 financial attitude 4 financial behaviour total sample size of 20,000 all india ..."
land.pdf,Investoropinionaboutrealestate.pdf,,,,"international journal of engineering, management, humanities and social sciences paradigms (ijemhs) (vol. 01, issue 01, october 2013) issn: 2347 - 601x www.ijemhs.com study of opinion about real estate in india anju research scholar, mdu rohtak, haryana, india abstract working populations and favorable economic real estate is one of the fastest growing sectors in india policies. interest rates, fd..."
11-6-11-770.pdf,Impact of financial education on personal budgeting and saving habits,Ayushi Sharma and Vinod Kumar Tewari,Impact of financial education on personal budgeting and saving habits,"Financial education, budgeting behavior, saving habits, financial literacy, primary research, statistical analysis, personal finance, India, financial well-being","international journal of applied research 2025; 11(6): 109-113 issn print: 2394-7500 impact of financial education on personal budgeting issn online: 2394-5869 impact factor (rjif): 8.4 and saving habits ijar 2025; 11(6): 109-113 www.allresearchjournal.com received: 25-03-2025 accepted: 27-04-2025 ayushi sharma and vinod kumar tewari ayushi sharma research scholar, d.n.p.g. doi: https://www.doi.or..."
Deutsche-Bank-Namaste-India-2025.pdf,,,,Public,"india trust and securities services namaste india the comprehensive guide to investing in india with deep dedication. deutsche bank namaste india 2025 disclaimer — the document is intended to provide you with a general overview of the investment options available in india, regulatory compliances and other related information and does not, in any manner, provide any financial advice on investments...."
4258e11a-en.pdf,Taxation and Investment in India (EN),"Alastair Thomas, Isabelle Joumard (OECD), Tibor Hanappi (OECD), Michelle Harding (OECD)",https://doi.org/10.1787/4258e11a-en,"taxation, investment, India","oecd economics department working papers no. 1397 alastair thomas, taxation and investment isabelle joumard, in india tibor hanappi, michelle harding https://dx.doi.org/10.1787/4258e11a-en unclassified eco/wkp(2017)29 organisation de coopération et de développement économiques organisation for economic co-operation and development 20-jun-2017 _______________________________________________________..."
WP No.2025-04-02.pdf,,,,,"strategic acquisition and value addition of gold resources for india sundaravalli narayanaswami anmaya agarwal w. p. no. 2025-04-02 strategic acquisition and value addition of gold resources for india sundaravalli narayanaswami anmaya agarwal april 2025 the main objective of the working paper series of the iima is to help faculty members, research staff and doctoral students to speedily share thei..."
RBI-MONETARY-POLICY-REPORT-09-10-24.pdf,,,,,"published under section 45zm of the reserve bank of india act, 1934 monetary policy report october 2024 reserve bank of india mumbai contents chapter i: macroeconomic outlook 1 i.1: key developments since the april 2024 mpr 1 i.2: the outlook for inflation 5 i.3: the outlook for growth 7 i.4: balance of risks 9 i.5: conclusion 14 box i.1: monetary policy response to food inflation under alternativ..."
ICICI_Prudential_Industry_Report.pdf,,Jyoti Ramakant Singh,,,assessment of mutual fund industry in india icici prudential asset management company limited july 2025 1 macroeconomic scenario in india............................................................................................................. 3 overview of capital markets in india....................................................................................................... 10 mutual f...
Financial Education Booklet - English.pdf,,2298@SEBINT,,,"disclaimer financial education initiatives of sebi are for providing general information to the public. for specific information on securities law, rules, regulations, guidelines and directives framed there under, please refer to the same at www.sebi.gov.in. published by: securities and exchange board of india (sebi) sebi bhavan plot no. c4-a, g-block, bandra kurla complex, bandra (east), mumbai 4..."
Your-Spending-Your-Savings-Your-Future.pdf,Your Spending Your Savings Your Future: A Beginner's Guide to Financial Readiness,,,,"your spending your savings your future a beginner’s guide to financial readiness © 2017. national endowment for financial education. all rights reserved. the content in this material is believed to be current as of this electronic version, but over time, legislative and regulatory changes, as well as new developments, may date this material. these materials may be used only for nonprofit, noncomme..."
invesco-gold-report-q2-2025.pdf,Gold report Q2 2025,,"EMEA-GOLD-REPORT-1-E
",,"market performance and macro factors gold report q2 2025 introduction in our quarterly gold report, we review the performance of the gold price and touch upon other asset classes, as well as explore significant macro factors, including bond yields, the us dollar and inflation expectations. market performance macro factors pages 03 – 08 pages 09 – 14 gold gained 5.7% in q2 2025, adding to its the f..."
20250617154218_MGE-2025-3-392.1.pdf,"Post-Covid Stock Market Participation in India: Behavioural Shifts, Digital Transformation, and Policy Gaps",Windows User,,,"international journal of multidisciplinary research and growth evaluation www.allmultidisciplinaryjournal.com post-covid stock market participation in india: behavioural shifts, digital transformation, and policy gaps m berchmans 1, dr. s vasanthi 2 1 research scholar, bharathidasan university, tiruchirappalli, tamil nadu, india 2 associate professor, pg & research department of commerce, holy cro..."
economic-importance-financial-literacy-theory-evidence.pdf,"The Economic Importance of Financial Literacy: Theory and Evidence<xref ref-type=""fn"" rid=""f1"" ptype=""fjel5215"" citart=""citart1""><sup></sup></xref>",Annamaria Lusardi and Olivia S. Mitchell,"This paper undertakes an assessment of a rapidly growing body of economic research on financial literacy. We start with an overview of theoretical research, which casts financial knowledge as a form of investment in human capital. Endogenizing financial knowledge has important implications for welfare, as well as policies intended to enhance levels of financial knowledge in the larger population. Next, we draw on recent surveys to establish how much (or how little) people know and identify the least financially savvy population subgroups. This is followed by an examination of the impact of financial literacy on economic decision making in the United States and elsewhere. While the literature is still young, conclusions may be drawn about the effects and consequences of financial illiteracy and what works to remedy these gaps. A final section offers thoughts on what remains to be learned if researchers are tobetter inform theoretical and empirical models as well as public policy. (JEL A20,D14, G11, I20, J26)",,"journal of economic literature 2014, 52(1), 5–44 http://dx.doi.org/10.1257/jel.52.1.5 the economic importance of financial literacy: theory and evidence † annamaria lusardi and olivia s. mitchell* this paper undertakes an assessment of a rapidly growing body of economic research on financial literacy. we start with an overview of theoretical research, which casts financial knowledge as a form of i..."
article_theindiaopportunity_ltr.pdf,,,,,"the india opportunity opportunity optimum | global opportunity team | january 2024 we believe india’s growing population and young demographic, and its efforts authors to build digital, regulatory, financial and physical infrastructure over the last decade, will pave the way for growth acceleration over the next decade. kristian heugh this will have significant implications for india’s share of th..."
ey-real-estate-2047-road-map-for-viksit-bharat-2047.pdf,Real Estate @2047 : Road Map for Viksit Bharat 2047,,,,"real estate @2047 road map for viksit bharat 2047 november 2024 dr ower of india approaches a new era of progress and development, the vision of building a viksit bharat calls for the real estate industry to play a pivotal role in fostering a prosperous, sustainable and inclusive future. towards this i am happy to present this white paper developed by credai & ey jointly, which serves as a compreh..."
gold.pdf,DOC-20250407-WA0005..pdf,,,,view publication stats
Land_As_Capital_ANAROCK_3f2ae27d4b.pdf,,,,,land as capital decoding india’s land transaction patterns and investment flows july 2025 contents foreword emerging geographic what the trends in land distribution numbers transactions of land deals reveal: land market deal 2024 land h1 2025 overview characteristics transaction market pulse: (2021-2024) trends continuing growth trajectories 01 05 15 27 03 • top 8 cities 11 • city-wise land 23 tra...
Financial-Literacy-Basics-for-Adults.pdf,Financial literacy basics,Financial Literacy Program,FOR ADULTS,,financial literacy basics for adults métis nation of ontario financial literacy program table of contents introduction.................................................................................................................................... 3 what is financial literacy?..................................................................................................................... 3 ...
Cost-of-Cash-India.pdf,,,,,the institute for business in the global context the cost of cash in india institute for business in the global context ii the institute for business in the global context about the institute for business in the global context the institute for business in the global context (ibgc) connects the world of business to the world. it is the hub for international business at the fletcher school at tufts...
NISM_Final-Report-All-India.pdf,Mott MacDonald Report Template,SUR25461,,,"financial literacy and inclusion in india final report - india national institute of securities market financial literacy and inclusion in india 331835 mb isa aa 01 final report on financial literacy and inclusion in india 19 january 2015 final report - india financial literacy and inclusion in india national institute of securities market nism bhavan, plot no. 82, sector 17, vashi, mumbai - 400 7..."
WP No.2025-04-02 (1).pdf,,,,,"strategic acquisition and value addition of gold resources for india sundaravalli narayanaswami anmaya agarwal w. p. no. 2025-04-02 strategic acquisition and value addition of gold resources for india sundaravalli narayanaswami anmaya agarwal april 2025 the main objective of the working paper series of the iima is to help faculty members, research staff and doctoral students to speedily share thei..."
book2.pdf,Budgeting and Decision Making,Bookboon.com,,,"budgeting and decision making larry m. walther; christopher j. skousen download free books at budgeting and decision making © 2009 larry m. walther, under nonexclusive license to christopher j. skousen & ventus publishing aps. all material in this publication is copyrighted, and the exclusive property of larry m. walther or his licensors (all rights reserved). isbn 978-87-7681-492-2 download free ..."
Budgeting-and-Cash-Flow-personal-finance-guide-4199-M1502406xAA722.pdf,,,,,"budgeting & cash flow personal finance guide step 1: to budget or not to budget? how to make sticking to a budget easier think about budgeting as an opportunity to become more intentional budgeting and tracking about your spending choices, rather than as a form of restriction. even cash flow are a great if you have a surplus and your financial plan is “successful,” doing a way to be more budgeting..."
realty_bytes_may_2025.pdf,"India Real Estate Report FY 2025-26: Trends, Insights & Forecasts",Grant Thornton Bharat LLP,,GTBharat; Consulting; Big4,"india real estate report fy 2025-26: trends, insights & forecasts directional shifts for the sector 2 india real estate report fy 2025-26: trends, insights & forecasts table of contents 04 real estate landscape structural reforms, urbanisation and evolving consumer aspirations 06 disruptions and new directions 2025-26 how the industry is being reshaped 12 investment momentum and m&a pulse a snapsh..."
Investor-Risk-Profiling-A-Behavioural-Approach.pdf,Investor Risk Profiling: A Behavioural Approach,,,,"investor risk profiling a behavioural approach alain samson, phd prasad ramani, cfa, frm www.syntoniq.com with input from: aria.org.in table of contents overview......................................................................................................................................... 2 drivers of risk attitudes and behaviours.............................................................."
india-2018-v2.pdf,,,,,i ndia tax profile produced in conjunction with the kpmg asia pacific tax centre april 2018 © 2018 kpmg international cooperative (“kpmg international”). kpmg international provides no client 1 services and is a swiss entity with which the independent member firms of the kpmg network are affiliated. india tax profile table of contents 1 corporate income tax 3 1.1 general information 3 1.2 determin...
AnnualReport_2023_24.pdf,ANNUAL REPORT 2024-25,,,,annual th report 2 0 2 3 - 24 fimmda trainings fixed income money market and derivatives association of india board of directors mr. nand kishore mr. neeraj gambhir mr. ashish parthasarthy state bank of india axis bank hdfc bank chairman vice chairman mr. iswar padhan mr. sudarshana bhat ms. parul mittal sinha idbi bank union bank of india standard chartered bank mr. vasti venkatesh mr. shailendra...
income-expenses-budget.pdf,,rene.emilie,,,"income, expenses and budget module trainer’s introduction the skills to control your personal income, expenses and budget are the most basic tools that people need in their financial toolkit. but many people prefer to avoid thinking about budgets. this module gives a simple, step-by-step approach to balancing income and expenses that everyone can use. (mini-module 1 starts with identifying persona..."
IGWT2025-Nuggets_06_The-Status-Quo-of-Gold-Demand-and-Gold-Supply_EN.pdf,,,,,"nuggets you can download the entire in gold we trust report free of charge at: www.ingoldwetrust.report a printed version of the in gold we trust report is availabe in the in gold we trust shop. we would like to express our profound gratitude to our premium partners for supporting the in gold we trust repor t 2025 join us on our golden journey! may 15, 2025 compact version in gold we trust report ..."
Nicky-Lalmuanouia.pdf,,,,,a study on student budgeting and spending behaviour among the college students of aizawl project report submitted to department of management govt. j. thankima college for the partial fulfilment of the requirement for the degree of bachelor of business administration by nicky lalmuanpuia 1908bba011 under the supervision of j. lalbiakdika asst. professor department of management govt. j. thankima c...
financial_literacy_compile_file.pdf,Financial Literacy cover.cdr,OMPC,,,"2024 money matters unveiled a simple approach to financial literacy isbn: 978-81-19317-76-9 © state council of educational research & training, delhi march, 2024 7,34,000 copies advisor • mr. ashok kumar, ias, secretary (education), govt. of nct of delhi • dr. rita sharma, director, scert, delhi • dr. nahar singh, joint director (academics), scert, delhi academic coordinator & editor • dr. sapna y..."
